username,password,email
amateur_radio_society,Test1234!,amateur_radio_society@starkclubs.edu
association_for_medical_labora,Test1234!,association_for_medical_labora@starkclubs.edu
beta_beta_beta_tri_beta_biolog,Test1234!,beta_beta_beta_tri_beta_biolog@starkclubs.edu
between_the_covers_book_club,Test1234!,between_the_covers_book_club@starkclubs.edu
chemistry_club_stark_state_col,Test1234!,chemistry_club_stark_state_col@starkclubs.edu
comic_book_club,Test1234!,comic_book_club@starkclubs.edu
"cranberries,_baby!_sketch_come",Test1234!,"cranberries,_baby!_sketch_come@starkclubs.edu"
criminal_justice_student_assoc,Test1234!,criminal_justice_student_assoc@starkclubs.edu
cru_campus_crusade_for_christ,Test1234!,cru_campus_crusade_for_christ@starkclubs.edu
culinary_club_epicurean_societ,Test1234!,culinary_club_epicurean_societ@starkclubs.edu
education_club,Test1234!,education_club@starkclubs.edu
high_technology_crime_investig,Test1234!,high_technology_crime_investig@starkclubs.edu
human_and_social_services_stud,Test1234!,human_and_social_services_stud@starkclubs.edu
institute_of_electrical_and_el,Test1234!,institute_of_electrical_and_el@starkclubs.edu
institute_of_management_accoun,Test1234!,institute_of_management_accoun@starkclubs.edu
math_club,Test1234!,math_club@starkclubs.edu
national_association_of_black_,Test1234!,national_association_of_black_@starkclubs.edu
national_electrical_contractor,Test1234!,national_electrical_contractor@starkclubs.edu
outdoor_adventure_club,Test1234!,outdoor_adventure_club@starkclubs.edu
phi_theta_kappa_honor_society,Test1234!,phi_theta_kappa_honor_society@starkclubs.edu
physics_and_astronomy_club,Test1234!,physics_and_astronomy_club@starkclubs.edu
psi_beta_psychology_honors_cha,Test1234!,psi_beta_psychology_honors_cha@starkclubs.edu
respiratory_therapy_club,Test1234!,respiratory_therapy_club@starkclubs.edu
software_development_guild,Test1234!,software_development_guild@starkclubs.edu
stark_communication_society,Test1234!,stark_communication_society@starkclubs.edu
stark_raving_writers,Test1234!,stark_raving_writers@starkclubs.edu
stark_state_college_associatio,Test1234!,stark_state_college_associatio@starkclubs.edu
stark_voices_–_student_publica,Test1234!,stark_voices_–_student_publica@starkclubs.edu
student_ambassador_program,Test1234!,student_ambassador_program@starkclubs.edu
student_american_dental_hygien,Test1234!,student_american_dental_hygien@starkclubs.edu
student_government_association,Test1234!,student_government_association@starkclubs.edu
student_health_information_man,Test1234!,student_health_information_man@starkclubs.edu
student_nurse_association_sna,Test1234!,student_nurse_association_sna@starkclubs.edu
student_occupational_therapy_a,Test1234!,student_occupational_therapy_a@starkclubs.edu
student_physical_therapist_ass,Test1234!,student_physical_therapist_ass@starkclubs.edu
