id,first_name,last_name,email
S1001,Student1,Last1,student1@stark.edu
S1002,Student2,Last2,student2@stark.edu
S1003,Student3,Last3,student3@stark.edu
S1004,Student4,Last4,student4@stark.edu
S1005,Student5,Last5,student5@stark.edu
S1006,Student6,Last6,student6@stark.edu
S1007,Student7,Last7,student7@stark.edu
S1008,Student8,Last8,student8@stark.edu
S1009,Student9,Last9,student9@stark.edu
S1010,Student10,Last10,student10@stark.edu
S1011,Student11,Last11,student11@stark.edu
S1012,Student12,Last12,student12@stark.edu
S1013,Student13,Last13,student13@stark.edu
S1014,Student14,Last14,student14@stark.edu
S1015,Student15,Last15,student15@stark.edu
S1016,Student16,Last16,student16@stark.edu
S1017,Student17,Last17,student17@stark.edu
S1018,Student18,Last18,student18@stark.edu
S1019,Student19,Last19,student19@stark.edu
S1020,Student20,Last20,student20@stark.edu
S1021,Student21,Last21,student21@stark.edu
S1022,Student22,Last22,student22@stark.edu
S1023,Student23,Last23,student23@stark.edu
S1024,Student24,Last24,student24@stark.edu
S1025,Student25,Last25,student25@stark.edu
S1026,Student26,Last26,student26@stark.edu
S1027,Student27,Last27,student27@stark.edu
S1028,Student28,Last28,student28@stark.edu
S1029,Student29,Last29,student29@stark.edu
S1030,Student30,Last30,student30@stark.edu
S1031,Student31,Last31,student31@stark.edu
S1032,Student32,Last32,student32@stark.edu
S1033,Student33,Last33,student33@stark.edu
S1034,Student34,Last34,student34@stark.edu
S1035,Student35,Last35,student35@stark.edu
